#,QUANTITY,PART NUMBER,MANUFACTURER PART NUMBER,DESCRIPTION,CUSTOMER REFERENCE,BACKORDER,UNIT PRICE,EXTENDED PRICE
1,10,296-1393-5-ND,LM339N,IC COMPARATOR 4 DIFF 14DIP,,0,0.413,4.13
2,100,1080-1140-ND,PD204-6C,SENSOR PHOTODIODE 940NM RADIAL,,0,0.1197,11.97
